text,question,answer_term,ep,sp
" the G protein-coupled receptor GPR54. Evidence suggests that this system is a key regulator of mammalian and human reproduction. Animal studies have shown that GPR54-deficient mice have abnormal sexual development. Central and peripheral administration of kisspeptin stimulates the hypothalamic-pituitary-gonadal (HPG) axis whilst pre-administration of a gonadotrophin releasing hormone ( GnRH antagonist abolishes this effect. In humans, inactivating GPR54 mutations cause normosmic hypogonadotrophic hypogonadism whilst activation of GPR54 signalling is associated with premature puberty. In healthy human volunteers, the acute intravenous administration of kisspeptin potently increases plasma luteinising hormone (LH) levels and significantly increases plasma follicle stimulating hormone (FSH) and",GnRH acts as INHIBITOR for what entity? ,kisspeptin,267.0,257.0
" and tailored activity probes for lipoprotein-associated phospholipase A(2).Lipoprotein-associated phospholipase A(2) (Lp-PLA(2) or PLA(2)G7) binds to low-density lipoprotein (LDL) particles, where it is thought to hydrolyze oxidatively truncated phospholipids. Lp-PLA(2) has also been implicated as a pro-tumorigenic enzyme in human prostate cancer. Several inhibitors of Lp-PLA(2) have been described, including darapladib which is currently in phase 3 clinical development for the treatment of atherosclerosis. The selectivity that darapladib and other Lp-PLA(2) inhibitors display across the larger serine hydrolase family has not, however, been reported. Here, we describe the use of both general and tailored activity-based probes for profiling Lp-PLA(2) and",darapladib acts as INHIBITOR for what entity? ,Lp-PLA(2),271.0,262.0
" atherosclerosis. The selectivity that darapladib and other Lp-PLA(2) inhibitors display across the larger serine hydrolase family has not, however, been reported. Here, we describe the use of both general and tailored activity-based probes for profiling Lp-PLA(2) and inhibitors of this enzyme in native biological systems. We show that both darapladib and a novel class of structurally distinct carbamate inhibitors inactivate Lp-PLA(2) in mouse tissues and human cell lines with high selectivity. Our findings thus identify both inhibitors and chemoproteomic probes that are suitable for investigating Lp-PLA(2) function in biological systems.",darapladib acts as INHIBITOR for what entity? ,Lp-PLA(2),69.0,60.0
" inhibitors display across the larger serine hydrolase family has not, however, been reported. Here, we describe the use of both general and tailored activity-based probes for profiling Lp-PLA(2) and inhibitors of this enzyme in native biological systems. We show that both darapladib and a novel class of structurally distinct carbamate inhibitors inactivate Lp-PLA(2) in mouse tissues and human cell lines with high selectivity. Our findings thus identify both inhibitors and chemoproteomic probes that are suitable for investigating Lp-PLA(2) function in biological systems.",carbamate acts as INHIBITOR for what entity? ,Lp-PLA(2),195.0,186.0
 Identification of benzofura central cores for the inhibition of leukotriene A(4) hydrolase.Leukotrienes (LT's) are known to play a physiological role in inflammatory immune response. Leukotriene A(4) hydrolase (LTA(4)H) is a cystolic enzyme that stereospecifically catalyzes the transformation of LTA(4) to LTB(4). LTB(4) is a known pro-inflammatory mediator. This paper describes the identification,benzofuran acts as INHIBITOR for what entity? ,leukotriene A(4) hydrolase,-1.0,-1.0
 inhibition of leukotriene A(4) hydrolase.Leukotrienes (LT's) are known to play a physiological role in inflammatory immune response. Leukotriene A(4) hydrolase (LTA(4)H) is a cystolic enzyme that stereospecifically catalyzes the transformation of LTA(4) to LTB(4). LTB(4) is a known pro-inflammatory mediator. This paper describes the identification and synthesis of substituted benzofurans as LTH(4)H inhibitors. The benzofuran series demonstrated reduced mouse and human whole blood LTB(4) levels in vitro and led to the identification one analog for advanced profiling. Benzofuran 28 showed dose responsive target engagement and provides a useful tool to explore a LTA(4)H inhibitor for the treatment of inflammatory,benzofurans acts as INHIBITOR for what entity? ,LTH(4)H,402.0,395.0
" the transformation of LTA(4) to LTB(4). LTB(4) is a known pro-inflammatory mediator. This paper describes the identification and synthesis of substituted benzofurans as LTH(4)H inhibitors. The benzofuran series demonstrated reduced mouse and human whole blood LTB(4) levels in vitro and led to the identification one analog for advanced profiling. Benzofuran 28 showed dose responsive target engagement and provides a useful tool to explore a LTA(4)H inhibitor for the treatment of inflammatory diseases, such as asthma and inflammatory bowel disease (IBD).",Benzofuran acts as INHIBITOR for what entity? ,LTA(4)H,451.0,444.0
 Identification of benzofuran central cores for the inhibition of leukotriene A(4) hydrolase.Leukotrienes (LT's) are known to play a physiological role in inflammatory immune response. Leukotriene A(4) hydrolase (LTA(4)H) is a cystolic enzyme that stereospecifically catalyzes the transformation of LTA(4) to LTB(4) LTB(4) is a known pro-inflammatory mediator. This paper describes the identification and synthesis of substituted benzofurans as LTH(4)H inhibitors. The benzofuran series demonstrated reduced mouse and human whole blood LTB(4) levels in vitro and led to the identification one analog for advanced profiling. Benzofuran 28 showed dose responsive target,LTB(4) acts as PRODUCT-OF for what entity? ,LTA(4)H,-1.0,-1.0
 Identification of benzofuran central cores for the inhibition of leukotriene A(4) hydrolase.Leukotrienes (LT's) are known to play a physiological role in inflammatory immune response. Leukotriene A(4) hydrolase (LTA(4)H) is a cystolic enzyme that stereospecifically catalyzes the transformation of LTA(4) to LTB(4) LTB(4) is a known pro-inflammatory mediator. This paper describes the identification and synthesis of substituted benzofurans as LTH(4)H inhibitors. The benzofuran series demonstrated reduced mouse and human whole blood LTB(4) levels in vitro and led to the identification one analog for advanced profiling. Benzofuran 28 showed dose responsive target,LTB(4) acts as PRODUCT-OF for what entity? ,Leukotriene A(4) hydrolase,211.0,185.0
 Identification of benzofuran central cores for the inhibition of leukotriene A(4) hydrolase.Leukotrienes (LT's) are known to play a physiological role in inflammatory immune response. Leukotriene A(4) hydrolase (LTA(4)H) is a cystolic enzyme that stereospecifically catalyzes the transformation of LTA(4) to LTB(4). LTB(4) is a known pro-inflammatory mediator. This paper describes the identification and synthesis of substituted benzofurans as LTH(4)H inhibitors. The benzofuran series demonstrated reduced mouse and human whole blood LTB(4) levels in vitro and led to the identification one analog for advanced profiling. Benzofuran 28 showed dose,LTA(4) acts as SUBSTRATE for what entity? ,LTA(4)H,-1.0,-1.0
 Identification of benzofuran central cores for the inhibition of leukotriene A(4) hydrolase.Leukotrienes (LT's) are known to play a physiological role in inflammatory immune response. Leukotriene A(4) hydrolase (LTA(4)H) is a cystolic enzyme that stereospecifically catalyzes the transformation of LTA(4) to LTB(4). LTB(4) is a known pro-inflammatory mediator. This paper describes the identification and synthesis of substituted benzofurans as LTH(4)H inhibitors. The benzofuran series demonstrated reduced mouse and human whole blood LTB(4) levels in vitro and led to the identification one analog for advanced profiling. Benzofuran 28 showed dose,LTA(4) acts as SUBSTRATE for what entity? ,Leukotriene A(4) hydrolase,211.0,185.0
" was given to evaluate the ability of neoechinulin A, an indole alkaloid isolated from marine-derived Microsporum sp., to attenuate microglial activation by oligomeric amyloid-β 1-42 (Aβ42). Neoechinulin A treatment significantly inhibited the generation of reactive oxygen and nitrogen species in Aβ42-activated BV-2 microglia cells. In addition, we found that neoechinulin A significantly suppressed the production of neurotoxic inflammatory mediator tumour necrosis factor-α (TNF-α), interleukin-1β (IL-1β), interleukin-6 (IL-6), and prostaglandin E2 (PGE2) in activated BV-2 cells. Moreover, the treatment downregulated the protein and gene expressions of inducible nitric oxide synthase (iNOS), cyclooxygenase-2 (COX-2), TNF-α, IL-1β and IL-6. Further, activated microglia-mediated apoptosis",neoechinulin A acts as INDIRECT-DOWNREGULATOR for what entity? ,tumour necrosis factor-α,477.0,453.0
" was given to evaluate the ability of neoechinulin A, an indole alkaloid isolated from marine-derived Microsporum sp., to attenuate microglial activation by oligomeric amyloid-β 1-42 (Aβ42). Neoechinulin A treatment significantly inhibited the generation of reactive oxygen and nitrogen species in Aβ42-activated BV-2 microglia cells. In addition, we found that neoechinulin A significantly suppressed the production of neurotoxic inflammatory mediator tumour necrosis factor-α (TNF-α), interleukin-1β (IL-1β), interleukin-6 (IL-6), and prostaglandin E2 (PGE2) in activated BV-2 cells. Moreover, the treatment downregulated the protein and gene expressions of inducible nitric oxide synthase (iNOS), cyclooxygenase-2 (COX-2), TNF-α, IL-1β and IL-6. Further, activated microglia-mediated apoptosis",neoechinulin A acts as INDIRECT-DOWNREGULATOR for what entity? ,TNF-α,-1.0,-1.0
" was given to evaluate the ability of neoechinulin A, an indole alkaloid isolated from marine-derived Microsporum sp., to attenuate microglial activation by oligomeric amyloid-β 1-42 (Aβ42). Neoechinulin A treatment significantly inhibited the generation of reactive oxygen and nitrogen species in Aβ42-activated BV-2 microglia cells. In addition, we found that neoechinulin A significantly suppressed the production of neurotoxic inflammatory mediator tumour necrosis factor-α (TNF-α), interleukin-1β (IL-1β), interleukin-6 (IL-6), and prostaglandin E2 (PGE2) in activated BV-2 cells. Moreover, the treatment downregulated the protein and gene expressions of inducible nitric oxide synthase (iNOS), cyclooxygenase-2 (COX-2), TNF-α, IL-1β and IL-6. Further, activated microglia-mediated apoptosis",neoechinulin A acts as INDIRECT-DOWNREGULATOR for what entity? ,interleukin-1β,501.0,487.0
